iter	Passed	Remaining
847	8141	3379
848	8152	3370
849	8160	3360
850	8170	3350
851	8180	3341
852	8188	3331
853	8197	3321
854	8206	3311
855	8214	3301
856	8223	3291
857	8232	3281
858	8243	3272
859	8251	3262
860	8263	3253
861	8272	3243
862	8282	3234
863	8290	3224
864	8299	3214
865	8308	3204
866	8317	3194
867	8327	3185
868	8335	3174
869	8343	3164
870	8352	3154
871	8360	3144
872	8369	3135
873	8379	3125
874	8388	3115
875	8398	3106
876	8407	3096
877	8416	3086
878	8424	3076
879	8433	3066
880	8443	3057
881	8451	3047
882	8459	3037
883	8469	3027
884	8480	3018
885	8487	3008
886	8497	2998
887	8506	2988
888	8515	2978
889	8523	2968
890	8531	2958
891	8540	2948
892	8548	2938
893	8556	2928
894	8565	2919
895	8573	2908
896	8583	2899
897	8592	2889
898	8601	2879
899	8610	2870
900	8620	2860
901	8630	2851
902	8639	2841
903	8648	2831
904	8657	2822
905	8668	2812
906	8678	2803
907	8687	2793
908	8698	2784
909	8707	2774
910	8716	2765
911	8727	2756
912	8737	2746
913	8746	2737
914	8756	2727
915	8765	2717
916	8774	2708
917	8784	2698
918	8793	2688
919	8803	2679
920	8814	2670
921	8824	2660
922	8835	2651
923	8848	2643
924	8863	2635
925	8878	2627
926	8888	2617
927	8898	2608
928	8907	2598
929	8917	2588
930	8926	2579
931	8936	2569
932	8945	2559
933	8953	2549
934	8962	2540
935	8971	2530
936	8980	2520
937	8989	2510
938	8998	2501
939	9009	2492
940	9019	2482
941	9029	2472
942	9039	2463
943	9049	2454
944	9059	2444
945	9069	2435
946	9078	2425
947	9086	2415
948	9095	2405
949	9106	2396
950	9114	2386
951	9122	2376
952	9131	2366
953	9142	2357
954	9150	2347
955	9161	2338
956	9169	2328
957	9178	2318
958	9186	2308
959	9196	2299
960	9205	2289
961	9216	2280
962	9226	2270
963	9234	2260
964	9243	2250
965	9251	2240
966	9260	2231
967	9269	2221
968	9279	2212
969	9288	2202
970	9298	2192
971	9306	2183
972	9315	2173
973	9324	2163
974	9332	2153
975	9340	2143
976	9348	2133
977	9358	2124
978	9367	2114
979	9376	2104
980	9385	2095
981	9396	2085
982	9406	2076
983	9414	2066
984	9423	2056
985	9432	2047
986	9441	2037
987	9449	2027
988	9458	2017
989	9467	2008
990	9476	1998
991	9486	1989
992	9496	1979
993	9505	1969
994	9513	1960
995	9523	1950
996	9531	1940
997	9539	1930
998	9547	1920
999	9555	1911
1000	9563	1901
1001	9571	1891
1002	9580	1881
1003	9588	1871
1004	9597	1862
1005	9605	1852
1006	9615	1842
1007	9624	1833
1008	9632	1823
1009	9641	1813
1010	9649	1803
1011	9658	1794
1012	9667	1784
1013	9676	1775
1014	9686	1765
1015	9694	1755
1016	9703	1745
1017	9711	1736
1018	9721	1726
1019	9729	1717
1020	9739	1707
1021	9747	1697
1022	9757	1688
1023	9765	1678
1024	9774	1668
1025	9783	1659
1026	9791	1649
1027	9801	1639
1028	9810	1630
1029	9820	1620
1030	9829	1611
1031	9837	1601
1032	9845	1591
1033	9854	1582
1034	9863	1572
1035	9872	1562
1036	9881	1553
1037	9890	1543
1038	9900	1534
1039	9908	1524
1040	9917	1514
1041	9925	1505
1042	9934	1495
1043	9943	1485
1044	9952	1476
1045	9960	1466
1046	9970	1456
1047	9977	1447
1048	9988	1437
